"dep","url","created","modified"
"adela mxabierto","http://adela.datos.gob.mx/adela-mxabierto/catalogo.json","2015-10-20 15:47:38 UTC","2015-10-22 21:53:01 UTC"
"PGR","http://adela.datos.gob.mx/pgr/catalogo.json","2015-07-23 03:04:32 UTC","2015-10-27 03:57:33 UTC"
"API-COA","http://adela.datos.gob.mx/api-mtt/catalogo.json","2015-10-20 08:38:03 UTC","2015-10-27 17:37:40 UTC"
"Ayuntamiento de Ciudad Juárez","http://adela.datos.gob.mx/ayuntamiento-de-ciudad-juarez/catalogo.json","2015-10-20 18:26:36 UTC","2015-10-23 22:28:15 UTC"
"CINETECA NACIONAL","http://adela.datos.gob.mx/cineteca-nacional/catalogo.json","2015-10-27 20:01:24 UTC","2015-10-27 22:53:20 UTC"
"Fondo de Cultura Económica ","http://adela.datos.gob.mx/fondo-de-cultura-economica/catalogo.json","2015-07-31 18:57:14 UTC","2015-07-31 18:58:48 UTC"
"IFT","http://adela.datos.gob.mx/ift/catalogo.json","2015-07-03 17:18:51 UTC","2015-07-03 17:19:40 UTC"
"IEPSA","http://adela.datos.gob.mx/iepsa/catalogo.json","2015-06-30 14:52:18 UTC","2015-10-27 23:23:29 UTC"
"IMT","http://adela.datos.gob.mx/imt/catalogo.json","2015-06-17 15:54:12 UTC","2015-06-17 15:54:59 UTC"
"Ayuntamiento de Veracruz","http://adela.datos.gob.mx/ayuntamiento-de-veracruz/catalogo.json","2015-10-20 08:38:00 UTC","2015-10-27 19:56:45 UTC"
"API-SCX","http://adela.datos.gob.mx/api-scx/catalogo.json","2015-10-20 08:38:03 UTC","2015-11-06 17:37:44 UTC"
"IMTA","http://adela.datos.gob.mx/imta/catalogo.json","2015-10-20 08:37:55 UTC","2015-10-26 22:31:57 UTC"
"NAFIN","http://adela.datos.gob.mx/nafin/catalogo.json","2015-10-09 17:20:13 UTC","2015-10-22 17:48:10 UTC"
"PROMEXICO","http://adela.datos.gob.mx/promexico/catalogo.json","2014-08-22 21:05:44 UTC","2014-08-22 21:06:06 UTC"
