"dep","name","desc","date"
"adela-mxabierto","Indicadores de Inclusión Social","Indicadores de Inclusión Social","2016-02-04"
"adela-mxabierto","Relacion de Proyectos FAIS 2014","Indicadores de Inclusión Social","2015-11-01"
"adela-mxabierto","Base de Datos MIDS 2014, MIDS FAIS Cierre","Indicadores de Inclusión Social","2015-11-01"
"adela-mxabierto","Bienes Muebles e Inmuebles Ramo 20","Indicadores de Inclusión Social","2015-03-01"
"adela-mxabierto","Beneficiarios del programa de apoyo de seguro de vida para jefas de familia.","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios del programa de apoyo otorgado en el programa de opciones productivas.","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios del programa de apoyo temporal a las personas que ven reducidos sus ingresos.","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios del programa de recursos asignados al programa para el desarrollo de zonas prioritarias.","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios del programa de actores sociales del programa de coinversión social.","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios del progama de Abasto Social de Leche a Cargo de LICONSA en la modalidad Convenios.","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios del progama de Abasto Social de Leche a Cargo de LICONSA.","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios del programa pensión para adultos mayores.","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios del programa de jornaleros agrícolas.","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios del programa para la prevención y atención de la violencia contra las mujeres.","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios afiliados del INAPAM.","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios del subprograma jovenes becarias y becarios.","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios del programa de IMJUVE (Actores Sociales).","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios del programa del fondo nacional para el fomento a las artesanías.","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios del Programa de Estancias Infantiles para Madres Trabajadoras (responsables de estancias).","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios del Programa de Estancias Infantiles para Madres Trabajadoras (Madres y Padres) .","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios del Programa de Estancias Infantiles para Madres Trabajadoras (Niñas y niños) .","Indicadores de Inclusión Social","2015-10-01"
"adela-mxabierto","Beneficiarios del programa de comedores comunitarios.","Municipios capacitados con los temas relacionados con el Fondo de Aportaciones para la Infraestructura Social","2015-10-01"
"adela-mxabierto","Beneficiarios del programa 3 x 1 para migrantes.","Municipios capacitados con los temas relacionados con el Fondo de Aportaciones para la Infraestructura Social","2015-10-01"
"adela-mxabierto","Municipios capacitados con los temas relacionados con el Fondo de Aportaciones para la Infraestructura Social","Municipios capacitados con los temas relacionados con el Fondo de Aportaciones para la Infraestructura Social","2015-08-01"
"adela-mxabierto","Asignación de recursos del Fondo de Aportaciones para la Infraestructura Social para el ejercicio fiscal correspondiente.","Municipios capacitados con los temas relacionados con el Fondo de Aportaciones para la Infraestructura Social","2015-12-01"
"adela-mxabierto","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social Municipal y de las Demarcaciones Territoriales del distrito Federal.","Municipios capacitados con los temas relacionados con el Fondo de Aportaciones para la Infraestructura Social","2015-08-01"
"adela-mxabierto","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social de las Entidades.","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social de las Entidades.","2015-08-01"
"adela-mxabierto","Catalogo de Reglas de Operación de los programas sociales","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social de las Entidades.","2015-10-01"
"adela-mxabierto","Beneficiarios apoyados con Estímulo para la Asistencia y Permanencia escolar, otorgados a los hijos de jornaleros agrícolas.","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social de las Entidades.","2015-10-01"
"adela-mxabierto","Familias apoyadas al Arribo en las unidades de trabajo del Programa de Atención a Jornaleros Agrícolas","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social de las Entidades.","2015-10-01"
"adela-mxabierto","Empleos directos en el Programa de Empleo Temporal","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social de las Entidades.","2015-10-01"
"adela-mxabierto","Convenios Especificos con Instituciones de Educación Superior","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social de las Entidades.","2015-09-01"
"adela-mxabierto","Personal de Promoción Social","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social de las Entidades.","2015-10-01"
"adela-mxabierto","Matriz de demanda social comunitaria","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social de las Entidades.","2015-09-01"
"adela-mxabierto","Comités comunitarios","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social de las Entidades.","2015-10-01"
"adela-mxabierto","Relación de localidades con número de proyectos por tipo de obra, llevadas a cabo por el Programa 3x1 para Migrantes, 2013 - 2014.","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social de las Entidades.","2015-11-01"
"adela-mxabierto","Relación de municipios con número de acciones por tipo de obra, llevadas a cabo por el PDZP, 2013 - 2014.","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social de las Entidades.","2015-11-01"
"adela-mxabierto","Jefas de familia afiliadas al Seguro de Vida para Jefas de Familia (SJVF).","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social de las Entidades.","2015-10-01"
"adela-mxabierto","Padrón de Niñas(os).","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social de las Entidades.","2015-11-01"
"adela-mxabierto","Padrón de Beneficiarios.","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social de las Entidades.","2015-11-01"
"adela-mxabierto","Directorio de Estancias.","Número de proyectos reportados en el Sistema de Formato Único financiados con recursos del Fondo para la Infraestructura Social de las Entidades.","2015-11-01"
"adela-mxabierto","Estudios y evaluaciones de los programas sociales","Comedores Comunitarios","2015-09-01"
"adela-mxabierto","Comedores Comunitarios","Comedores Comunitarios","2015-09-01"
"adela-mxabierto","Apoyos otorgados en el programa Opciones Productivas en la modalidad de Impulso Productivo","Comedores Comunitarios","2015-10-01"
"pemex","Valor de las ventas internas de Pemex-Refinación","Valor de las ventas en el mercado nacional de gasolinas, querosenos, diésel, combustóleo y otros petrolíferos, en miles de barriles diarios","2015-11-16"
"pemex","Elaboración de productos petroquímicos de Pemex-Refinación","Producción total de petroquímicos en el sistema nacional de refinación. En miles de toneladas","2015-11-16"
"pemex","Elaboración de productos petrolíferos de Pemex-Refinación","Producción de gas licuado, gasolinas, turbosina, diésel, combustóleo y otros petrolíferos. En miles de barriles diarios.","2015-11-16"
"pemex","Proceso de petróleo crudo en Petróleos Mexicanos","Proceso de crudo total en el sistema nacional de refinación. En miles de barriles diarios.","2015-11-16"
"pemex","Número de pozos terminados por Petróleos Mexicanos","Total de pozos terminados","2015-11-16"
"pemex","Distribución de gas natural de Petróleos Mexicanos","Total del gas natural distribuido por Petróleos Mexicanos en millones de pies cúbicos diarios","2015-11-16"
"pemex","Distribución de petróleo crudo de Petróleos Mexicanos","Total del petróleo crudo distribuido por Petróleos Mexicanos en miles de barriles diarios","2015-11-16"
"pemex","Producción de gas natural de Petróleos Mexicanos","Producción total de gas natural en millones de pies cúbicos diarios","2015-11-16"
"pemex","Producción de petróleo crudo de Petróleos Mexicanos","Producción total de petróleo crudo en miles de barriles diarios","2015-11-16"
"pemex","Volumen del comercio exterior de hidrocarburos y sus derivados de Petróleos Mexicanos","Exportaciones de petróleo crudo, condensados, gas natural (millones de pies cúbicos diarios), petrolíferos (total), petroquímicos (total en miles de toneladas) y las importaciones de gas natural (millones de pies cúbicos diarios), petrolíferos (total) y petroquímicos (total en miles de toneladas)","2015-11-16"
"pemex","Volumen del comercio exterior de productos petroquímicos de Petróleos Mexicanos","Total de las exportaciones e importaciones de productos petroquímicos en miles de toneladas","2015-11-16"
"pemex","Volumen del comercio exterior de productos petrolíferos y gas licuado de Petróleos Mexicanos","Total de las exportaciones e importaciones de productos petrolíferos y gas licuado en miles de barriles diarios","2015-11-16"
"pemex","Valor del comercio exterior de productos petrolíferos y gas licuado de Petróleos Mexicanos","Total de las exportaciones e importaciones de productos petrolíferos y gas licuado en millones de dólares","2015-11-16"
"pemex","Volumen de las exportaciones de petróleo crudo por país de destino de Petróleos Mexicanos","Total de las exportaciones de petróleo crudo a Estados Unidos, España, India, Canadá, China, Portugal y otros países en miles de barriles diarios","2015-11-16"
"pemex","Precio de las exportaciones de petróleo crudo por destino geográfico de Petróleos Mexicanos","Precio de las exportaciones de petróleo crudo a América, Europa, África y Lejano Oriente en dólares por barril.","2015-11-16"
"pemex","Valor del comercio exterior de hidrocarburos y sus derivados de Petróleos Mexicanos","Exportaciones de petróleo crudo, condensados, gas natural (millones de pies cúbicos diarios), petrolíferos (total), petroquímicos (total en miles de toneladas) y las importaciones de gas natural (millones de pies cúbicos diarios), petrolíferos (total) y petroquímicos (total en miles de toneladas)","2015-11-16"
"pemex","Valor del comercio exterior de productos petroquímicos de Petróleos Mexicanos","Total de las exportaciones e importaciones de productos petroquímicos en millones de dólares","2015-11-16"
"pemex","Becas otorgadas por Petróleos Mexicanos ","Becas vigentes otorgadas por Petróleos Mexicanos a sus trabajadores de confianza","2015-11-16"
"pemex","Estudios e investigaciones contratados por Petróleos Mexicanos","Estudios e investigaciones contratados por Petróleos Mexicanos, incluye número de contrato, empresas contratadas y sus respectivos montos","2015-11-16"
"pemex","Quejas y denuncias presentadas a la Unidad de Responsabilidades  de Petróleos Mexicanos","Estadísticas de quejas y denuncias presentadas  a la Unidad de Responsabilidades de Petróleos Mexicanos y Organismos Subsidiarios","2015-11-16"
"pemex","Definiciones utilizadas en las quejas recibidas por  la Unidad de Responsabilidades de Petróleos Mexicanos","Definiciones de estadísticas de quejas-denuncias presentadas en Petróleos Mexicanos","2015-11-16"
"pemex","Donativos otorgados por Petróleos Mexicanos","Seguimiento de los donativos otorgados por Entidad Federativa","2015-11-16"
"pemex","Donaciones otorgadas por Petróleos Mexicanos","Seguimiento de las donaciones otorgadas por Entidad Federativa","2015-11-16"
"pemex","Profesionales sanitarios y pacientes por unidad médica de Petróleos Mexicanos","Número de personal médico, enfermeras, paramédicos y de derechohabiencia por unidad médica de Petróleos Mexicanos","2015-11-16"
"pemex","Morbilidad en Petróleos Mexicanos","Número de consultas de primera vez otorgadas en las unidades médicas de Petróleos Mexicanos. Se presenta por enfermedad y número de casos según grupo de edad y sexo","2015-11-16"
"pemex","Muertes ocurridas en las unidades médicas de Petróleos Mexicanos","Número de defunciones y causa de las mismas en las unidades médicas de Petróleos Mexicanos.","2015-11-16"
"pemex","Enfermedades diagnosticadas en unidades médicas de Petróleos Mexicanos","Enfermedades diagnosticadas en las unidades médicas de Petróleos Méxicanos, en número","2015-11-16"
"pemex","Programas preventivos de salud en las unidades médicas de Petróleos Mexicanos","Programa preventivo anual por unidad médica.","2015-11-16"
"pemex","Cirugías realizadas en las unidades médicas de Petróleos Mexicanos","Número de cirugías realizadas por unidad médica","2015-11-16"
"pemex","Valor del comercio exterior de Pemex-Petroquímica","Total de las exportaciones, importaciones y exportaciones netas de productos petroquímicos en millones de dólares","2015-11-16"
"pemex","Volumen de las ventas internas en Pemex-Petroquímica","Ventas en el mercado nacional de derivados del metano, derivados del etano; aromáticos y derivados; propileno y derivados, en miles de toneladas","2015-11-16"
"pemex","Valor de las ventas internas  en Pemex-Petroquímica","Ventas en el mercado nacional de derivados del metano, derivados del etano; aromáticos y derivados; propileno y derivados, en millones de pesos","2015-11-16"
"pemex","Elaboración de productos petroquímicos en Pemex-Petroquímica","Elaboración de derivados del metano, derivados del etano; aromáticos y derivados; propileno y derivados, y petrolíferos, en miles de toneladas","2015-11-16"
"pemex","Valor del comercio exterior de gas y condensados de Pemex-Gas y Petroquímica Básica","Total de las exportaciones, importaciones y exportaciones netas, en millones de dólares","2015-11-16"
"pemex","Valor de ventas internas en Pemex Gas y Petroquímica Básica","Ventas en el mercado nacional de gas natural, gas licuado, petroquímicos básicos y otros productos, en millones de pesos","2015-11-16"
"pemex","Proceso de gas y condensados en complejos procesadores de gas en Petróleos Mexicanos","Proceso de gas húmedo (millones de pies cúbicos diarios)  y condensados (miles de barriles diarios)","2015-11-16"
"pemex","Elaboración de productos de gas y condensados de Petróleos Mexicanos","Elaboración de gas seco (millones de pies cúbicos diarios), gas licuado, gasolinas naturales y etano en complejos procesadores de gas, en miles de barriles diarios","2015-11-16"
"pemex","Estaciones de servicio y estaciones de autoconsumo franquiciadas por Petróleos Mexicanos","Estaciones por Entidad Federativa, y tipo de producto que comercializa","2015-11-16"
"pemex","Valor del comercio exterior de Pemex-Refinación","Total de las exportaciones, importaciones y exportaciones netas, en millones de dólares","2015-11-16"
"pemex","Volumen de las ventas internas de Pemex-Refinación","Volumen de las ventas en el mercado nacional de gasolinas, querosenos, diésel, combustóleo y otros petrolíferos, en miles de barriles diarios","2015-11-16"
"pemex","Valor de las exportaciones de petróleo crudo de Petróleos Mexicanos  por destino geográfico","Exportación total de petróleo crudo a América, Europa, Lejano Oriente y África en millones de dólares.","2015-11-16"
"pemex","Volumen de las exportaciones de petróleo crudo de Petróleos Mexicanos por destino geográfico","Exportación total de petróleo crudo a América, Europa, Lejano Oriente y África en miles de barriles diarios.","2015-11-16"
"pemex","Valor de las ventas internas de productos petroquímicos de Petróleos Mexicanos","Ventas en el mercado nacional de derivados del etano, derivados del metano, propileno y sus derivados, aromáticos y derivados y otros petroquímicos, en millones de pesos.","2015-11-16"
"pemex","Volumen de las ventas internas de productos petroquímicos de Petróleos Mexicanos","Ventas en el mercado nacional de derivados del etano, derivados del metano, propileno y sus derivados, aromáticos y derivados y otros petroquímicos, en miles de toneladas.","2015-11-16"
"pemex","Valor de las ventas internas de productos petrolíferos y gas licuado de Petróleos Mexicanos","Ventas en el país de gas licuado, gasolinas, turbosina, diésel, combustóleo y otros petrolíferos en millones de pesos.","2015-11-16"
"pemex","Volumen de las ventas internas de productos petrolíferos y gas licuado de Petróleos Mexicanos","Ventas en el mercado nacional de gas licuado, gasolinas, turbosina, diésel, combustóleo y otros petrolíferos en miles de barriles diarios.","2015-11-16"
"pemex","Elaboración de productos petroquímicos de Petróleos Mexicanos","Elaboración de derivados del metano, derivados del etano; aromáticos y derivados; propileno y derivados, y petrolíferos en miles de toneladas. Considera la producción de Pemex-Petroquímica, Pemex-Gas y Petroquímica Básica, Pemex-Refinación y Pemex-Exploración y Producción.","2015-11-16"
"pemex","Elaboración de productos petrolíferos y gas licuado en Petróleos Mexicanos","Producción total de gas licuado, gasolinas, querosenos, diésel, combustóleo y otros petrolíferos en miles de barriles diarios. Incluye producción de Pemex-Gas y Petroquímica Básica, Pemex-Refinación y Pemex-Exploración y Producción.","2015-11-16"
"pemex","Estadísticas operativas seleccionadas de Petróleos Mexicanos","Principales indicadores de producción, ventas en el mercado nacional y comercio exterior.","2015-11-16"
"pemex","Enfermedades crónico degenerativas en las unidades médicas de Petróleos Mexicanos","Enfermedades crónico degenerativas en las unidades médicas de Petróleos Méxicanos, en número
","2015-11-16"
"pgr","Incidencia Delictiva 2012-2015","CONJUNTO DE DATOS DE INCIDENCIA DE DELITOS DEL FUERO FEDERAL 2012-2015","2015-10-26"
"pgr","Incidencia Delictiva 2007-2011","CONJUNTO DE DATOS DE INCIDENCIA DE DELITOS DEL FUERO FEDERAL 2007-2011","2015-10-26"
"pgr","Incidencia Delictiva 2001-2006","CONJUNTO DE DATOS DE INCIDENCIA DE DELITOS DEL FUERO FEDERAL 2001 a 2006","2015-10-26"
"pgr","Ordenamientos legislativos y normativos","Avances de ordenamientos legislativos y normativos necesarios para la adecuada operación del Sistema de Justicia Penal Acusatorio","2015-10-26"
"pgr","INTERVENCIONES PERICIALES","Número de solicitudes que genera la autoridad competente (MPF, Juzgados, PGJEDO y Otros), Número de intervenciones tramitadas y producto emitido (Dictamen, Requerimiento e Informe)","2015-10-26"
"pgr","Estadística de la Unidad Especializada en Investigación de Delitos de Comercio de Narcóticos Destinados al Consumo Final","Averiguaciones Previas Iniciadas por Narcomenudeo, droga asegurada por tipo y gramo","2015-10-26"
"pgr","Estadística de la Dirección General de Control de Procesos Penales y Amparo en Materia de Delitos Federales","Ordenes de aprehension libradas, negadas o mixtas por la comision de delitos federales competencia de la Subprocuraduría Especializada en Investigación de Delitos Federales ","2015-10-26"
"pgr","Estadística de la Unidad Especializada en Investigación de Delitos contra los Derechos de Autor y la Propiedad Industrial (MENSUAL)","Objetos e inmueble asegurados relacionados con la comisión de delitos contra los derechos de autor y la propiedad industrial","2015-10-26"
"pgr","Estadística de la Unidad Especializada en Investigación de Delitos contra los Derechos de Autor y la Propiedad Industrial (ANUAL)","Objetos e inmueble asegurados relacionados con la comisión de delitos contra los derechos de autor y la propiedad industrial (Anual)","2015-10-26"
"pgr","VISITAS DE SUPERVISIÓN TÉCNICA JURÍDICA ENE-SEP 2015","Visitas de supervisión de calidad técnico-jurídica a los  agentes del minsiterio público de la federación, adscritos a los órganos jurídiccionales, para corroborar la aplicación de los lineamientos que establece el acuerdo A/011/99 del Procurador General de la República. ","2015-10-26"
"pgr","SUPERVISIÓN PREVIA EN AMPARO RELEVANTE ENE-SEP 2015","Supervisiones de calidad técnico-jurídica previa a las intervenciones realizadas por los  agentes del Minsiterio Público de la Federación, adscritos a los órganos jurídiccionales, con el fin de verificar los requisitos que indica el acuerdo A/011/99 del Procurador General de la República. ","2015-10-26"
"pgr","SUPERVISIÓN POSTERIOR DE PARTICIPACIÓN MINISTERIAL AMPARO ENE-SEP 2015","Supervisiones de calidad técnico-jurídica posterior a las intervenciones realizadas por los  agentes del minsiterio público de la federación, adscritos a los órganos jurídiccionales, con el fin de verificar y apoyar la calidad de las participaciones ministeriales ","2015-10-26"
"pgr","RECURSOS INTERPUESTOS EN AMPARO ENE-SEP 2015","Total de las Intervenciones ministeriales dentro de los recursos notificados por el órganos jurisdiccional ","2015-10-26"
"pgr","PARTICIPACION MINISTERIAL COMO AUTORIDAD RESPONSABLE ENE- SEP 2015","Total de las Intervenciones ministeriales para rendir informes y recursos  como autoridades responsables ","2015-10-26"
"pgr","OPINIONES MINISTERIALES EN RECURSOS ENE-SEP 2015","Intervenciones en los recursos por parte del agente del Ministerio Público de la Federación adscrito a los distintos órganos jurisdiccionales","2015-10-26"
"pgr","ALEGATOS MINISTERIALES EN AMPARO ENE-SEP 2015","Actividad del agentes del Ministerio Público de la Federación adscrito a los distintos órganos jurisdiccionales","2015-10-26"
